prey\predator;D1;A1;A2;A3;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;R1;B1;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;F28;F29;F30;F31;F32;F33;F34;F35;F36;F37;F38;F39;F40;F41;F42;F43;F44;F45;F46;F47;F48;F49;F50;F51;F52;F53;F54;F55;F56;F57;F58;F59;F60;F61;F62;F63;F64;F65;F66;F67;F68;F69;F70;F71;F72;F73;F74;F75;F76;F77;F78;F79;F80;F81;F82;F83;F84;F85;F86;F87;F88;F89;F90;F91;F92;F93;F94;F95;F96;F97;F98;F99;F100;F101;F102;F103;F104;F105;F106;F107;F108;F109;F110;F111;F112;F113;F114;F115;F116;F117;F118;F119;F120;F121;F122;F123;F124;F125;F126;F127;F128;F129;F130;F131;F132;F133;F134;F135;F136;F137;F138;F139;F140;F141;F142;F143;F144;F145;F146;F147;F148;F149;F150;F151;F152;F153;F154;F155;F156;F157;F158;F159;F160;F161;F162;F163;F164;F165;F166;F167;F168;F169;F170;F171;F172;F173;F174;F175;F176;F177;F178;F179;F180;F181;F182;F183;F184;F185;F186;F187;F188;F189;F190;F191;F192;F193;F194;F195;F196;F197;F198;F199;F200;F201;F202;F203;F204;F205;F206;F207;F208
D1 ;0;0;0;0;0;0,000226027397260274;0,00000550684931506849;0,00000123287671232877;0,00000123287671232877;0,00000246575342465753;0,00000123287671232877;0,00000273972602739726;0,0000421917808219178;0;0;0,00000383561643835616;0,00000936986301369863;0;0;0;0,0000253150684931507;0,00000207123287671233;0;0;0;0,0000343835616438356;0;0,0000343835616438356;0,00000147397260273973;0;0,00000202739726027397;0,000000958904109589041;0,000000456164383561644;0,00000046027397260274;0,00000155342465753425;0,00000133150684931507;0;0,00000322191780821918;0,0000131506849315069;0;0;0,0000216170136986301;0,0000153356575342466;0,0000154963287671233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000268863561643836;0,0000224304657534247;0,0000215196164383562;0,0000266956712328767;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000578767123287671;0;0,000000667123287671233;0;0,000000292465753424658;0,000000616438356164384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000108219178082192;0,00000999452054794521;0;0;0;0;0;0,00000918835616438356;0,0000198330136986301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000479887671232877;0,00000171932876712329;0,0000248835616438356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000314383561643836;0;0;0;0;0;0;0;0;0,0000157444109589041;0,00000834146575342466;0,0000024411095890411;0,00000267857534246575;0,00000817471232876712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000226630136986301;0,000000324493150684931;0
A1 ;0;0;0;0;0;0;0;0;0;0;0;0;0,0000281278538812785;0;0,0000170958904109589;0,00000894977168949772;0;0;0;0;0,0000168767123287671;0,00000306849315068493;0,0000229223744292237;0;0;0,000114611872146119;0,00018337899543379;0;0,000000491324200913242;0,00000405479452054795;0;0;0,0000111506849315069;0;0,000000295890410958904;0;0,00000359269406392694;0,000000613698630136986;0;0,00000249315068493151;0;0,0000339718356164384;0,0000229762374429224;0,0000236897899543379;0;0;0;0;0;0;0;0,000000174465753424658;0,000000350228310502283;0,0000318793059360731;0;0;0;0;0,0000358484748858447;0,0000298472328767123;0,0000286928219178082;0,0000355942283105023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000564840182648402;0;0;0;0;0;0;0;0;0;0;0;0,000000978666666666667;0;0;0;0;0,0000122511415525114;0,0000264440182648402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000559232876712329;0;0;0;0;0;0;0,0000445114155251142;0,0000415707762557078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000392054794520548;0;0;0;0,000027230904109589;0,00000535758904109589;0,000000442283105022831;0,00000777388127853881;0,00000557041095890411;0,0000331780821917808;0;0;0;0;0;0;0,00000166246575342466;0;0;0;0;0;0;0;0,00000105260273972603;0,00000102591780821918;0,00000104109589041096;0,000000172602739726027;0;0,0000419178082191781;0,000000152146118721461;0,000000106082191780822;0,00000103101369863014;0,00000187150684931507;0,00000213450228310502;0,0000478670319634703;0;0;0,0000210396164383562;0,0000118739726027397;0,00000325481278538813;0,00000475207305936073;0,0000108573698630137;0;0;0,0000243663561643836;0,0000672511415525114;0,0000218264840182648;0,0000374569863013699;0,0000255116712328767;0,0000533420456621005;0,0000416803652968037;0,0000618812785388128;0,0000377843287671233;0,0000376596894977169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000038782904109589;0;0;0;0,0000449461187214612;0;0;0;0;0;0;0;0,00000472489497716895;0,00000168255707762557;0
A2;0;0;0;0;0;0;0;0,0000219553387127041;0,0000219553387127041;0;0,0000219553387127041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000000914993432163633;0;0;0;0;0;0;0;0,0000000298742728466879;0;0,00000034843310189529;0;0;0;0;0;0;0,00000208436854944643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000211063989491462;0,00000628725839744793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000143246387689998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000079507599924939;0,00000184893976355789;0,00000215030962657159;0,0000000880465378119722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000377579283167574;0,000000614937136423344;0;0;0;0;0;0,0000000669919309438919;0;0,000000302645899793582;0,000000284856445862263;0;0,00000010463501595046;0;0;0,00000203103771814599;0,0000000813285794708201;0,00000307765059110527;0,000000303246387689998;0,00000295147307187089;0;0;0,0000000507787577406643;0;0;0;0,000000593244511165322;0,000000553011822105461;0;0;0;0,0000000775379996246951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000010160255207356;0;0
 A3 ;0;0;0;0;0,0267449445531637;0;0;0;0;0;0;0,00091324200913242;0;0;0;0;0,0000991519895629485;0;0;0;0,000562557077625571;0;0;0,000521852576647097;0;0;0;0;0;0;0;0,000045662100456621;0,0000217221135029354;0,000175342465753425;0;0,0000634050880626223;0;0;0,000313111545988258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000360730593607306;0,00333150684931507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I1 ;0;0;0;0;0;0;0;0,000684931506849315;0,000684931506849315;0,00319634703196347;0,000684931506849315;0,00091324200913242;0;0;0;0;0;0;0,00284627092846271;0;0,00312531709791984;0;0,00636732623033993;0,00405885337392187;0,00318366311516996;0,0127346524606799;0;0;0,00272957889396246;0;0;0,000355149670218163;0,000225266362252664;0;0;0,000493150684931507;0;0;0,00243531202435312;0;0,00202942668696093;0;0;0;0;0;0;0;0;0,000264231354642314;0;0;0;0,0000117757483510908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000026154236428209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000450532724505327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00016002029426687;0;0;0;0;0,0000137290715372907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I2 ;0;0;0;0;0,256751467710372;0;0;0,000140900195694716;0,000140900195694716;0,000140900195694716;0,000140900195694716;0,000313111545988258;0,00241095890410959;0;0,0000732681017612524;0,00014027397260274;0,000178473581213307;0,00219178082191781;0;0;0,000964383561643836;0,0000263013698630137;0;0,000626223091976517;0;0,00196477495107632;0,00392954990215264;0;0,000336908023483366;0;0;0,00010958904109589;0,000052133072407045;0,0000526027397260274;0,0000202896281800391;0,0000507240704500979;0;0,000105205479452055;0,00075146771037182;0;0;0;0;0,0000114504892367906;0;0;0,00229385518590998;0,000856095499021526;0,00299334637964775;0,00264986301369863;0;0;0,000731276712328767;0,000555949902152642;0,0000663170254403131;0;0,0000133228962818004;0;0;0,0000257377690802348;0;0;0;0;0;0,00011467397260274;0,0000346489236790607;0,00199295499021526;0,0000266207436399217;0,00151433268101761;0;0;0;0;0;0;0;0;0;0;0;0;0,000482639530332681;0,000144482191780822;0;0,0000512328767123288;0,00168929941291585;0;0;0,00191115459882583;0,00131494794520548;0,00418166731898239;0,00103617377690802;0,0014559686888454;0;0;0;0;0;0,00201958356164384;0,000247358121330724;0,00228446183953033;0,000193052054794521;0;0,0000346849315068493;0;0;0,00126011741682975;0,00132934794520548;0;0,00226849315068493;0,00217142857142857;0;0;0,0000807045009784736;0;0,00070958904109589;0,00000161095890410959;0,000452978473581213;0;0;0;0;0,0000223937377690802;0,00114530254403131;0;0;0;0,000118647358121331;0,0000399718199608611;0,000585518590998043;0,00137152250489237;0;0;0;0,00147162426614481;0;0;0,000405285322896282;0;0;0;0,00158457925636008;0;0,000663912328767123;0;0;0;0;0,0000142027397260274;0;0;0,000705313502935421;0;0;0;0;0;0,00000256281800391389;0,000561938160469667;0;0,000264153424657534;0,0000118356164383562;0;0;0;0;0;0;0;0;0,00169236790606654;0,000107237573385519;0;0;0,0000336125244618395;0,0000111311154598826;0;0,00000352250489236791;0,00158839138943249;0;0;0;0,0000168328767123288;0,00000118825831702544;0,000663220352250489;0;0,00199138943248532;0,00153111545988258;0,0000322755381604697;0,000386752250489237;0,000698694324853229;0,000230224657534247;0;0,000300962818003914;0,00058614481409002;0;0;0;0;0;0;0;0;0;0;0;0,000169089628180039;0,000587035616438356;0,000648053228962818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000183107632093933;0;0,000117307240704501;0,000179184344422701;0;0;0;0,00123279217221135;0;0,000139506849315069;0;0;0;0;0,00000975655577299413;0;0;0;0;0;0;0,0000306097847358121;0,0000638684931506849;0
I3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000016027397260274;0,00000191780821917808;0;0;0;0;0,00000632876712328767;0;0,0000644691780821918;0;0;0;0;0;0;0;0;0;0,00000076027397260274;0;0,0000000554794520547945;0;0,000000481164383561644;0;0;0,00000407534246575342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000821979452054795;0;0;0;0;0;0;0;0;0;0;0;0;0,0000000241095890410959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000381164383561644;0;0;0;0;0,000000093013698630137;0,0000247354452054795;0,0000183321575342466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000287424657534247;0,00000681095890410959;0;0;0,00000101712328767123;0;0;0,0000197246575342466;0,0000241419863013699;0,0000179967123287671;0,0000194428767123288;0;0;0;0;0,000000264760273972603;0;0;0;0,00000166345890410959;0;0;0,0000000463356164383562;0;0;0,00000106952054794521;0,000000492123287671233;0;0;0;0,000000284520547945205;0,0000000707534246575342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000860164383561644;0;0
I4 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000423865051511378;0,00000760783425789653;0;0;0;0;0,0000502117061021171;0;0,0028416166647798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000359289029774709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000100334654137892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000971647231971018;0,0000151250990603419;0,000019274085814559;0,00000106237971244198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000107777651986867;0;0,00000121725348126344;0,000000687422166874222;0;0;0;0;0;0,0000019626400996264;0,0000385635684365448;0;0,0000293282010641911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000163459753198234;0;0
I5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000328767123287671;0;0;0;0;0,000216986301369863;0;0,0049119373776908;0;0;0;0;0;0;0;0;0;0;0;0,00000634050880626223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000733698630136986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000359099804305284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000664383561643836;0,0000310469667318982;0,0000224246575342466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000130551859099804;0,0000210078277886497;0;0;0;0;0;0;0;0,00000789041095890411;0,0000089119373776908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000196849315068493;0,0000173013698630137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I6 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000177028451001054;0;0;0;0;0,00116838777660695;0;0,0264488935721812;0;0;0;0;0;0;0;0;0;0;0;0,0000341412012644889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0162889778714436;0;0,00896575342465753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00286174920969441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00064345626975764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000343435194942044;0;0,000620990516332982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00147650158061117;0;0;0;0;0;0;0,000321306638566913;0,000651464699683878;0,000783793466807165;0,0125943097997893;0,0031140990516333;0;0;0;0,00173542676501581;0;0,0103192413066386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000253594475263217;0;0;0;0;0,0000125529265255293;0;0;0;0;0;0;0;0;0;0;0;0,0000100532095550775;0;0,000000366806294577154;0;0,0000127250084908864;0;0;0,00000316993094079022;0;0;0;0;0;0;0;0;0;0;0;0,000000180233216347787;0;0,00000105105853051059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000149575455677573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000111196648930148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000152156685157931;0,000000343711083437111;0;0;0;0;0,00000816891203441639;0;0,00000285656062492924;0,00000146360240009057;0,00000418974300917016;0;0;0,000000306351183063512;0;0;0;0;0,000000667270463036341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000139368671828469;0;0;0;0;0;0,000183442525312686;0;0,00373734365693865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000209648600357356;0;0;0;0;0;0;0;0,00000798689696247767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000116998213222156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000708755211435378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000434442270058708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000280391389432485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000486176125244618;0;0;0;0;0;0;0;0;0,000111487279843444;0,000302970645792564;0;0;0;0;0;0;0;0;0,0000161409001956947;0,000708133072407045;0;0,000193315068493151;0,0000590841487279844;0,000429158512720157;0;0;0,00031707240704501;0,000111968688845401;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000207240704500978;0,0000485048923679061;0,00019761252446184;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00027760469667319;0;0;0;0;0;0;0;0,000283021526418787;0,000190215264187867;0;0;0;0,0000415655577299413;0;0;0;0;0;0;0;0;0;0;0;0,000308219178082192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000227788649706458;0,000181800391389432;0;0;0;0;0;0;0;0;0;0;0
I10 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000771506849315069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I11 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000319634703196347;0;0;0;0,00000514459665144597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000605783866057839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000168949771689498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000455098934550989;0;0;0;0;0;0;0;0,00000627701674277017;0,00000428614916286149;0;0,0000767442922374429;0;0,0000466324200913242;0;0;0,00000501826484018265;0;0;0;0;0;0;0,00000448401826484018;0,000106605783866058;0;0;0;0,00000311643835616438;0;0,0000229771689497717;0,0000169246575342466;0,0000157191780821918;0,0000327321156773212;0,000000951293759512938;0;0;0;0;0;0;0;0;0;0;0,00000121004566210046;0;0,0000295844748858447;0;0;0;0;0;0;0;0,0000638051750380518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000432876712328767;0;0,000023972602739726;0;0;0;0;0;0;0;0,00000212176560121766;0;0;0;0;0;0;0;0;0;0,0000010296803652968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00000770776255707763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000140258751902588;0;0,0000468188736681887;0;0;0;0;0;0;0;0;0,0000150228310502283;0,0000350076103500761
I12 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000393396557780119;0;0;0;0,000394155251141552;0,0000432736213558131;0;0;0;0,00176325957147875;0;0;0;0,0000944854232525465;0,00015595363540569;0;0;0,0000623814541622761;0;0,0000455216016859853;0;0;0;0;0,00000614682121531437;0;0;0,00000335370565507552;0;0;0;0;0;0;0;0;0,00000950614682121531;0;0;0;0;0;0;0;0;0;0,0000220807867931156;0;0;0;0;0,00000282683526519143;0;0;0;0;0,000191065683175272;0,0000593565156304882;0;0;0;0;0;0;0,0000149982437653671;0;0,000120969441517387;0;0;0;0;0;0,0000389884088514226;0,000115100105374078;0;0;0;0;0;0;0;0,000256857042500878;0,000199747102212856;0,0000745570776255708;0;0;0;0;0;0,0000125992272567615;0,00013104531085353;0,00000420091324200913;0;0;0;0;0;0;0,0000830853530031612;0,0000275223041798384;0,0000138475588338602;0,0000191043203371971;0,000109875658587987;0,0000159072708113804;0,00000377590446083597;0;0,000032172813487882;0,0000469841938883035;0,000030145416227608;0;0;0,00000700386371619248;0;0;0,0000538082191780822;0,00023980330172111;0;0;0;0,0000431506849315068;0;0,0000804720758693361;0,000108615384615385;0,0000512687038988409;0,00014581664910432;0,0000935194942044257;0,000277175974710221;0,0000467903055848261;0,000133309448542325;0,0000427523709167545;0,0000559655778011943;0,00000226905514576747;0;0,0000367825781524412;0,0000127460484720759;0;0,0000016754478398314;0,0000138566912539515;0;0;0,00000636037934668072;0,00000286195995785037;0;0;0,0000131844046364594;0;0,00000515349490691957;0,0000060695468914647;0;0;0;0,00011190727081138;0,00014919564453811;0;0;0;0;0;0;0,00000869265893923428;0;0,0000109884088514225;0,00000293642430628732;0,0000101159114857745;0;0;0;0;0;0;0,0000513101510361784;0,0000039171057253249;0;0;0,00000181032665964173;0,0000639367755532139;0,00000332349841938883;0;0,0000227481559536354;0;0,00000657534246575343;0,000000950474183350896;0;0;0;0;0;0;0;0;0;0;0,0000172195293291184;0;0;0;0;0;0;0;0;0;0;0;0,0000186596417281349;0;0,0000142297154899895;0;0;0,00000436108184053389;0;0;0;0;0;0;0;0;0;0,000076907622058307;0,0000594963119072708;0,0000572391991570074;0,0000535145767474535;0,000345739374780471;0;0;0;0;0;0;0;0,0000919199157007376;0,0000905992272567615;0,0000323147172462241
I13 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000100059559261465;0;0;0;0,00000966289458010721;0,0000146754020250149;0;0;0;0,000597974985110185;0;0;0;0,0000256343061346039;0,0000705181655747469;0,00010577724836212;0,000266825491363907;0,00000793329362715902;0;0,00000694699225729601;0;0,000000669446098868374;0;0;0,00000166765932102442;0;0;0;0;0;0;0;0;0;0;0;0,00000891292435973794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000233157832042883;0,00000945848719475878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0000112695652173913;0,0000155149493746278;0;0,0000128076235854675;0,000010548659916617;0;0;0;0;0;0,00000879690291840381;0,0000704412150089339;0,00000142465753424658;0,0000639189994044074;0;0;0;0;0;0,00000251578320428827;0,0000135092316855271;0,00000922453841572364;0,00000493627159023228;0;0,0000440562239428231;0,00000819535437760572;0;0,00000599023228111971;0,00000291745086360929;0,0000336514592019059;0;0;0;0;0;0;0;0;0;0;0,000011288862418106;0;0,00000825062537224538;0,0000191742703990471;0,00000787325789160214;0,0000512328767123288;0,0000373734365693865;0,0000681548540798094;0,0000105786777843955;0,0000485117331745086;0;0;0;0;0;0;0;0,000000378796902918404;0,00000225562835020846;0;0;0;0;0;0,000000779988088147707;0,00000670684931506849;0;0,0000332064324002382;0,0000177534246575342;0;0;0;0,0000569267421083979;0,0000033210244192972;0;0;0;0;0;0;0;0,000000538415723645027;0,0000176162001191185;0;0,0000020369267421084;0;0;0;0;0;0;0;0;0;0;0;0,00000309755807027993;0;0;0,00000385729600952948;0;0;0,000000322334723049434;0;0;0;0;0;0;0;0;0;0;0,00000109493746277546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000000647051816557475;0;0;0;0;0;0;0;0;0;0,0000206227516378797;0,0000245396069088743;0,0000348945801072067;0,0000272226325193568;0;0;0;0;0,0000077724836212031;0;0;0;0,0000207818939845146;0,0000514172721858249;0,000010958904109589
